requested_name,source_group,object_kind,database,schema,object_name,select_sql,ordinal_position,column_name,data_type,error
AIML_OPEN_PURCHASE_ORDERS,DEMO_PUBLISHED,TABLE_OR_VIEW,DEMO_ANALYTICS,DEMO_PUBLISHED,AIML_OPEN_PURCHASE_ORDERS,SELECT * FROM DEMO_ANALYTICS.DEMO_PUBLISHED.AIML_OPEN_PURCHASE_ORDERS,1,TAS_SOURCE_ID,TEXT,
AIML_OPEN_PURCHASE_ORDERS,DEMO_PUBLISHED,TABLE_OR_VIEW,DEMO_ANALYTICS,DEMO_PUBLISHED,AIML_OPEN_PURCHASE_ORDERS,SELECT * FROM DEMO_ANALYTICS.DEMO_PUBLISHED.AIML_OPEN_PURCHASE_ORDERS,2,PLANT_ID,TEXT,
AIML_OPEN_PURCHASE_ORDERS,DEMO_PUBLISHED,TABLE_OR_VIEW,DEMO_ANALYTICS,DEMO_PUBLISHED,AIML_OPEN_PURCHASE_ORDERS,SELECT * FROM DEMO_ANALYTICS.DEMO_PUBLISHED.AIML_OPEN_PURCHASE_ORDERS,3,COMPANY_ID,TEXT,
AIML_OPEN_PURCHASE_ORDERS,DEMO_PUBLISHED,TABLE_OR_VIEW,DEMO_ANALYTICS,DEMO_PUBLISHED,AIML_OPEN_PURCHASE_ORDERS,SELECT * FROM DEMO_ANALYTICS.DEMO_PUBLISHED.AIML_OPEN_PURCHASE_ORDERS,4,VEND_NM,TEXT,
AIML_OPEN_PURCHASE_ORDERS,DEMO_PUBLISHED,TABLE_OR_VIEW,DEMO_ANALYTICS,DEMO_PUBLISHED,AIML_OPEN_PURCHASE_ORDERS,SELECT * FROM DEMO_ANALYTICS.DEMO_PUBLISHED.AIML_OPEN_PURCHASE_ORDERS,5,VENDOR_ID,TEXT,
AIML_OPEN_PURCHASE_ORDERS,DEMO_PUBLISHED,TABLE_OR_VIEW,DEMO_ANALYTICS,DEMO_PUBLISHED,AIML_OPEN_PURCHASE_ORDERS,SELECT * FROM DEMO_ANALYTICS.DEMO_PUBLISHED.AIML_OPEN_PURCHASE_ORDERS,6,SUPPLIER_TYPE,TEXT,
AIML_OPEN_PURCHASE_ORDERS,DEMO_PUBLISHED,TABLE_OR_VIEW,DEMO_ANALYTICS,DEMO_PUBLISHED,AIML_OPEN_PURCHASE_ORDERS,SELECT * FROM DEMO_ANALYTICS.DEMO_PUBLISHED.AIML_OPEN_PURCHASE_ORDERS,7,SUPPLYING_PLANT,TEXT,
AIML_OPEN_PURCHASE_ORDERS,DEMO_PUBLISHED,TABLE_OR_VIEW,DEMO_ANALYTICS,DEMO_PUBLISHED,AIML_OPEN_PURCHASE_ORDERS,SELECT * FROM DEMO_ANALYTICS.DEMO_PUBLISHED.AIML_OPEN_PURCHASE_ORDERS,8,PURCHASE_GROUP_ID,TEXT,
AIML_OPEN_PURCHASE_ORDERS,DEMO_PUBLISHED,TABLE_OR_VIEW,DEMO_ANALYTICS,DEMO_PUBLISHED,AIML_OPEN_PURCHASE_ORDERS,SELECT * FROM DEMO_ANALYTICS.DEMO_PUBLISHED.AIML_OPEN_PURCHASE_ORDERS,9,PURCHASING_GROUP_NAME,TEXT,
AIML_OPEN_PURCHASE_ORDERS,DEMO_PUBLISHED,TABLE_OR_VIEW,DEMO_ANALYTICS,DEMO_PUBLISHED,AIML_OPEN_PURCHASE_ORDERS,SELECT * FROM DEMO_ANALYTICS.DEMO_PUBLISHED.AIML_OPEN_PURCHASE_ORDERS,10,PURCHASE_ORDER_TYPE_ID,TEXT,
AIML_OPEN_PURCHASE_ORDERS,DEMO_PUBLISHED,TABLE_OR_VIEW,DEMO_ANALYTICS,DEMO_PUBLISHED,AIML_OPEN_PURCHASE_ORDERS,SELECT * FROM DEMO_ANALYTICS.DEMO_PUBLISHED.AIML_OPEN_PURCHASE_ORDERS,11,PURCHASE_ORDER_TYPE_DESCRIPTION,TEXT,
AIML_OPEN_PURCHASE_ORDERS,DEMO_PUBLISHED,TABLE_OR_VIEW,DEMO_ANALYTICS,DEMO_PUBLISHED,AIML_OPEN_PURCHASE_ORDERS,SELECT * FROM DEMO_ANALYTICS.DEMO_PUBLISHED.AIML_OPEN_PURCHASE_ORDERS,12,PURCHASE_ORDER_HEADER_CREATION_DATE,DATE,
AIML_OPEN_PURCHASE_ORDERS,DEMO_PUBLISHED,TABLE_OR_VIEW,DEMO_ANALYTICS,DEMO_PUBLISHED,AIML_OPEN_PURCHASE_ORDERS,SELECT * FROM DEMO_ANALYTICS.DEMO_PUBLISHED.AIML_OPEN_PURCHASE_ORDERS,13,PURCHASE_ORDER_ID,TEXT,
AIML_OPEN_PURCHASE_ORDERS,DEMO_PUBLISHED,TABLE_OR_VIEW,DEMO_ANALYTICS,DEMO_PUBLISHED,AIML_OPEN_PURCHASE_ORDERS,SELECT * FROM DEMO_ANALYTICS.DEMO_PUBLISHED.AIML_OPEN_PURCHASE_ORDERS,14,PURCHASE_ORDER_ITEM_ID,NUMBER,
AIML_OPEN_PURCHASE_ORDERS,DEMO_PUBLISHED,TABLE_OR_VIEW,DEMO_ANALYTICS,DEMO_PUBLISHED,AIML_OPEN_PURCHASE_ORDERS,SELECT * FROM DEMO_ANALYTICS.DEMO_PUBLISHED.AIML_OPEN_PURCHASE_ORDERS,15,PURCHASE_ORDER_SCHED_LINE_ID,TEXT,
AIML_OPEN_PURCHASE_ORDERS,DEMO_PUBLISHED,TABLE_OR_VIEW,DEMO_ANALYTICS,DEMO_PUBLISHED,AIML_OPEN_PURCHASE_ORDERS,SELECT * FROM DEMO_ANALYTICS.DEMO_PUBLISHED.AIML_OPEN_PURCHASE_ORDERS,16,MATERIAL_GROUP,TEXT,
